etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
0.2	0.3	60	100	0.840432	0.00630619	 0.00647832
0.3	0.8	60	100	0.956965	0.00162904	 0.00167635
0.8	1.2	60	100	0.924695	0.00240009	 0.00239967
1.2	1.6	60	100	0.913235	0.00278835	 0.002853
1.6	2.1	60	100	0.862873	0.0034671	 0.00346564
2.1	2.4	60	100	0.830253	0.00652995	 0.0065854
-2.4	-2.1	100	200	0.838504	0.0237049	 0.0245443
-2.1	-1.6	100	200	0.844026	0.0119674	 0.0123949
-1.6	-1.2	100	200	0.882048	0.00844605	 0.0164929
-1.2	-0.8	100	200	0.926403	0.00679251	 0.00706506
-0.8	-0.3	100	200	0.949499	0.00530823	 0.00558114
-0.3	-0.2	100	200	0.831212	0.0187305	 0.0199597
-0.2	0.2	100	200	0.936097	0.00617514	 0.00654121
0.2	0.3	100	200	0.882214	0.0163713	 0.0176228
0.3	0.8	100	200	0.953355	0.00500844	 0.00536616
0.8	1.2	100	200	0.913378	0.00789951	 0.00820726
1.2	1.6	100	200	0.870903	0.0100176	 0.0103494
1.6	2.1	100	200	0.822235	0.0128007	 0.0139172
2.1	2.4	100	200	0.808799	0.0214126	 0.0221199
